,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,norm_road
0,0.0009511686969457664,0.004754358161648178,0.025974025974025976,0.0,0.724596122717413,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1,0.18176664744976403,0.006339144215530904,0.09090909090909091,0.0,0.08755982578210113,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
2,0.031318227177649066,0.003169572107765452,0.0,0.017234679402508415,0.6978187265954092,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
3,0.11024372235666702,0.001584786053882726,0.0,0.0018344373063562893,0.8607394206420859,0.0,0.0,1.0,0.42575490115337955,0.0,0.0,0.5742450988466204,0.0,0.5742450988466204,0.42575490115337955,1.0,0.0,1
4,0.022056560346268895,0.001584786053882726,0.0,0.004308669850627104,0.9711163528312897,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
5,0.02592784289656698,0.004369255967337453,0.0,0.0,0.7837455609575277,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
6,0.09320477049539415,0.003169572107765452,0.0,0.008617339701254207,0.727302273594679,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
7,0.1432817619905883,0.003169572107765452,0.0,0.0,0.6749036602006934,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
8,0.009771168135489113,0.039619651347068144,0.025974025974025976,0.0,0.7228336809547812,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
9,0.06719522909711494,0.001584786053882726,0.0,0.0,0.6452591224668056,0.0,0.0,1.0,0.0,0.766738873040553,0.0,0.233261126959447,0.0,1.0,0.0,0.233261126959447,0.766738873040553,1
10,0.18615961641579715,0.003169572107765452,0.14285714285714288,0.0,0.2620901794272962,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
11,0.04100262357678205,0.001584786053882726,0.0,0.008617339701254207,0.6527969873794597,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
12,0.048338910909222314,0.007071306983271659,0.09592187167965258,0.0,0.7488672997484035,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
13,0.11490261136341066,0.006407710987145846,0.10691402844059221,0.0,0.7238018418481281,0.0,0.6810885442963428,0.3189114557036572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6810885442963428,0.3189114557036572,1
